,Effectve Power,Recommended N,Mean R-Squared,Mean Cond. No.,Specification,Initial Pass Points,Initial Pass Iterations per Point,Second Pass Points,Second Pass Iterations per Point,Verification Iterations,Estimation Time
70,0.866,1844,0.599532252736305,1298.1098850023989,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4500003496805827
71,0.85,1816,0.5994903955335166,1298.3271336133143,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4452729860941569
72,0.822,1798,0.603011516248795,1292.8164420935,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4494182109832763
73,0.848,1862,0.5979067980608324,1298.3293986921017,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4545026461283366
74,0.886,1848,0.5981783643530565,1298.6549049558732,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4511167804400127
75,0.854,1799,0.6021599804261016,1292.9767279392402,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4454352895418803
76,0.856,1828,0.6007666004813947,1295.9596283593228,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4507108251253764
77,0.862,1874,0.5968982227176561,1298.3558620985914,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4393990556399028
78,0.836,1811,0.6009919293709018,1295.1292692103555,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4294122219085694
79,0.866,1858,0.597672822431087,1299.1861869364557,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.44018603960673
80,0.838,1813,0.6008237562893082,1296.5733970161239,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4293988227844239
81,0.806,1781,0.6036807063290879,1291.6899357701536,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.422990862528483
82,0.844,1813,0.6022883131720622,1292.6600781950901,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4274409572283426
83,0.846,1827,0.5999802893669619,1296.7730030207495,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4324025193850198
84,0.84,1806,0.6021809938035172,1293.572704799015,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4256543119748433
85,0.882,1892,0.5941680408893676,1302.6487642262116,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4262077609697978
86,0.854,1786,0.6035787892059236,1292.1462172176718,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4222740650177002
87,0.868,1856,0.597816446924267,1299.424346069984,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4264648278554282
88,0.856,1815,0.6014404498527564,1293.6225948706006,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4027830958366394
89,0.864,1822,0.6001126147638418,1295.4900761971853,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4201448758443196
90,0.876,1885,0.5954345993597295,1300.1304527955951,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4238876700401306
91,0.846,1836,0.5988444759835233,1299.7791369982979,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.420291539033254
92,0.858,1822,0.5993034231715778,1298.1071131518668,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4234208742777505
93,0.864,1817,0.5999200898154271,1297.4373619220323,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4278015851974488
94,0.854,1800,0.6026158712372887,1293.2265614529026,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4291704018910727
95,0.856,1825,0.6008371568491603,1295.6196160473955,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4371670325597128
96,0.81,1694,0.61288920789209,1281.7631245340579,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4257226943969727
97,0.87,1829,0.5999602787309408,1295.4914981172622,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4310609817504882
98,0.866,1850,0.5986640474364799,1299.322881546268,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4336747090021769
99,0.856,1808,0.6021147949863289,1295.5206269916134,Order_Amt = 'Treated' + 'Mean_Order_Amt' + 'Mean_Retailer_Order_Amt' + 'Mean_DOW_Order_Amt',4,200,5,200,500,1.4331591804822286
